Comment;Column2;Column3
sebenarnya pemerintah itu bingun antara dua pilihan ekonomi atau menyelamatkan kalau nyelamatkan pasti ekonomi ambruk kalau ambruk ya sa pejabatnya ga bisa makan tp kalau ekonomi di selamatkan masih ada bakal yg hidup ya walaupun banyak yg jadi korban tapi negara masoh bisa hidup;0;netral
kopet ;0;netral
asal jangan prank aja ;0;netral
karena keadaan masih gak jelas saya mah lebih seneng belanja ke warung tetangga produksi rumahan dengan bantuan bapak gojek pak presiden jadi belanja sembari ber amal gitu deh takut masuk mall masih ada corona ;2,33333E+15;positif
jurus pamungkas sudah dikeluarkan sebab sejak awal permulaan sudah ada keterlambatan dalam menangkal pandemi virus ;1;positif
penyiar wanita tv one masya allah cantik cantik bagaikan bidadari;85;positif
jng bny komen dan saling menyalahkan inti nya terserah sodara ikut apa tidak new normalnya mau dirmh monggo mau keluar monggo mau jln monggo ;-1,14394E+17;negatif
ayo kita belajar angka inget jaman sd;3;positif
apalah daya q sebagai wong cilik;0;netral
elit global sialan;0;netral
frank;0;netral
selamatkan ekonomi korbankan pribumi ;0;netral
kebijaksanaan baik dengan pengharapan baik insya allah hasillnya akan lebih baik ;4,83333E+15;positif
saya kawatir dibohongi lagi;0;netral
alhamdulillah semoga roda kehidupan kembali normal amin;15;positif
kata tatanan baru mengingatkan sama sunda emfire;6,81818E+15;positif
new su;0;netral
dengan kebijakan pemerintah yg mencla mencle ini gw jadi bingung apakah corona hanya mitos ;-4;negatif
semoga ada nya new normal ada juga new goverment pemerintah ga becus urus rakyat ;-1,19318E+17;negatif
masih ingat kata indonesia siap menghadapi corona yang diucapkan oleh jajaran mu jong wi yang seakan akan punya kekuatan diatas rata pas datang makhluk nya kalang kabut penanganannya bikin rakyat geram kebijakannya ga jelas hari ini tahu besok tempe minggu depan oncom ;125;positif
lg pk teks ;0;netral
ri perkumpulan orang baik dan sabar di saat ini bayak yg bershodakoh itu bisa bendung corona dak ada bum spt iran dll walaupun rakyat ngeyel bergrombol tapi selalu berbuat baik hasilnya dak ada yg mati besar ran itu krn rakyat sll berbuat baik ;4,16667E+15;positif
tidak ada yg sulit untuk warga negara hanya cukup berprilaku islami maka semuanya akan lancar hidup berdampingan dengan covid ;-1,5E+16;negatif
new world order;0;netral
kebanyakan istilah;0;netral
bentuk jalan pintas dan lepas tangan pemerintah;0;netral
 gaya lo pengen pindah ibukota buat jamin rakyat bulan aja kelabakan lo makanya kebijakan jangan asal jeplak broo komisi proyek masuk kantong pribadi giliran dikejar hutang luar negri ujung ujung tumpang tindih aturan dikasih bunga kecil gak mau soalnya komisi nya kecil dikasih bunga tinggi mau soalnya komisi nya juga tinggi pengamat kelas teri yg pro rakyat sory gua orang bodo soal nya gua sering di bodo bodoin komentar bebas kan ;4,75893E+16;positif
waduk lah jokowi plin plan;0;netral
lanjut kan pa presiden indonesia bangkit dri kterpurukan mslh corona jgn dngr kan org yg cuma bisa nya nyinyir dan ga bisa krja ;2,21429E+16;positif
apa salahnya masker tetap di pakai hal kecil aja padahal;-5;negatif
tolong yg positif mininggal dunia akibat covid data ktp ny di publikasikn di media masa apakah manusia yg itu terdaftar di muka bumi ini atw cuman sebagi hitungan semata sajaa hahahaaaaahha;5,11364E+15;positif
cieeee yg nyuruh berdamai dengan virus corona prank apa lagi ini pak;0;netral
new normal boleh new utang jangan;1,43182E+15;positif
pak dulu blng siap klo covid masuk lah udh masuk apd nya limit para medis banyak yg make jas hujan laaaah klo ini sy mlh lbh khawatir pak anak sy msh butuh sy sy punya sakit jantung anak sy hrs mulai sekolah mau paud sampai ke bangku kuliah ttp resiko namanya anak masih ada sifat ego ceroboh klo dak didampingi ortu klo hanya guru kt percykan itu srh ngurus anak lbh dr sepuluh jls kualahan pak mohon dipertimbangan;0;netral
pemerintah udah capek masyarakat udah capek maju kena mundur kena yah semoga aja yang positif ga banyak agak ragu sih kalau sampe new normal life diterapkan;-1,90909E+16;negatif
tatanan baru new world order dari beratus sektor yang lebih penting untuk new world order pak presiden memilih untuk berkunjung ke mall ;2,93182E+15;positif
semoga kehidupan ini berjalan kayak dulu lagi udah menderita banget selama ini gak ada pemasukan kerja di liburkan mau kemana gak bisa susah pokoknya ;-2;negatif
tatanan baru buat pejabat indonesia biar ga ngelawak dan plonga plongo kerahkan tni polri aja ;1,36364E+16;positif
utang negara mau g mau newnormal ;2;positif
prank lg nih ;0;netral
masjid pak;0;netral
selamatkan nyawa pasien pea ;0;netral
keinget sunda empire ;0;netral
negara lain new normal kita juga ikut menerapkan new normal udh di fikirkan matang blm tu udh siap blm dgn kemungkinan buruknya klo new normal ini ternyata gagal dan jadi malah tidak terkendali ;-1,38258E+16;negatif
josss;0;netral
mall di buka masjid gak di buka buka haduh bingung semoga allah melenyapkan virus kopek dari indo amiin ;-2;negatif
jangan ngulang sejarah dulu fase pertama banyak korban jiwa karena bosan dirumah lalu di bebaskan kembali dan terjadilah fase ke dua yg memakan lebih banyak korban ;15;positif
prasaan dr dulu cuma gimic doang hasil noll nyesak saya dukung dulu ;-125;negatif
 siapa kuat dya yang bertahan ;4,33333E+15;positif
gigikmu;0;netral
people are bored with your statement pak de gue tnggu ekonomi indonesiahh meroket dah itu aja;-5;negatif
imajinasiiiiiii;0;netral
emang pirus tu saudara lu atau anak buah mu bisa kamu atur sombong bangat jadi orang padahal bisa y cm urusan sy;0;netral
gw g yakin masyarakat bs disiplin mematuhi psbb jika tdak di awasi aparat polisi n tni krna sdh mnjdi tradisi patuh n taat jika ad yg lihat contohnya aja penilangan klo g ad polisi pda kagak mau pakai helm tp jika ramai ad razia baru pada pakai helm n melngkapi syarat mengemudi ;2,47273E+15;positif
 juni warga bebas kemana kemana tgl juni semua rumah sakit full terus masyarakat sakit ditaruh dimana ;1,19048E+14;positif
pea;0;netral
tidak mengira aa gym yg halus pun akhirnya bersuara perjuangan kita menahan diri dirumah aja di hianati lagi;2,08333E+15;positif
new normal menularkan seluruh penduduk indonesia dengan covid tinggal alam yg memilih siapa yg akan hidup siapa yg tidak;7,15909E+14;positif
ternak virus;0;netral
jangan berharap rakyat disiplin jika aturan hanya berlaku untuk sebagian orang jika pemerintah sendiri tidak disiplin jangan harap rakyat patuh;0;netral
suka suka lu deh;0;netral
tatanan baru kembali ke khittah dan fitrah sebagai manusia;1,36364E+16;positif
nunggu ada pejabat tinggi kena korona mau tepuk tangan;16;positif
