Comment,POS,NET,NEG
sebenarnya pemerintah itu bingun antara dua pilihan ekonomi atau menyelamatkan kalau nyelamatkan pasti ekonomi ambruk kalau ambruk ya sa pejabatnya ga bisa makan tp kalau ekonomi di selamatkan masih ada bakal yg hidup ya walaupun banyak yg jadi korban tapi negara masoh bisa hidup,0,0,1
kopet ,0,1,0
asal jangan prank aja ,0,1,0
karena keadaan masih gak jelas saya mah lebih seneng belanja ke warung tetangga produksi rumahan dengan bantuan bapak gojek pak presiden jadi belanja sembari ber amal gitu deh takut masuk mall masih ada corona ,0,0,1
jurus pamungkas sudah dikeluarkan sebab sejak awal permulaan sudah ada keterlambatan dalam menangkal pandemi virus ,0,0,1
penyiar wanita tv one masya allah cantik cantik bagaikan bidadari,0,1,0
jng bny komen dan saling menyalahkan inti nya terserah sodara ikut apa tidak new normalnya mau dirmh monggo mau keluar monggo mau jln monggo ,0,1,0
ayo kita belajar angka inget jaman sd,1,0,0
apalah daya q sebagai wong cilik,1,0,0
elit global sialan,0,0,1
frank,0,1,0
selamatkan ekonomi korbankan pribumi ,0,0,1
kebijaksanaan baik dengan pengharapan baik insya allah hasillnya akan lebih baik ,0,1,0
saya kawatir dibohongi lagi,0,1,0
alhamdulillah semoga roda kehidupan kembali normal amin,1,0,0
kata tatanan baru mengingatkan sama sunda emfire,0,1,0
new su,0,1,0
dengan kebijakan pemerintah yg mencla mencle ini gw jadi bingung apakah corona hanya mitos ,0,1,0
semoga ada nya new normal ada juga new goverment pemerintah ga becus urus rakyat ,0,1,0
masih ingat kata indonesia siap menghadapi corona yang diucapkan oleh jajaran mu jong wi yang seakan akan punya kekuatan diatas rata pas datang makhluk nya kalang kabut penanganannya bikin rakyat geram kebijakannya ga jelas hari ini tahu besok tempe minggu depan oncom ,0,0,1
lg pk teks ,0,0,1
ri perkumpulan orang baik dan sabar di saat ini bayak yg bershodakoh itu bisa bendung corona dak ada bum spt iran dll walaupun rakyat ngeyel bergrombol tapi selalu berbuat baik hasilnya dak ada yg mati besar ran itu krn rakyat sll berbuat baik ,0,1,0
tidak ada yg sulit untuk warga negara hanya cukup berprilaku islami maka semuanya akan lancar hidup berdampingan dengan covid ,0,1,0
new world order,0,0,1
kebanyakan istilah,0,1,0
bentuk jalan pintas dan lepas tangan pemerintah,0,1,0
 gaya lo pengen pindah ibukota buat jamin rakyat bulan aja kelabakan lo makanya kebijakan jangan asal jeplak broo komisi proyek masuk kantong pribadi giliran dikejar hutang luar negri ujung ujung tumpang tindih aturan dikasih bunga kecil gak mau soalnya komisi nya kecil dikasih bunga tinggi mau soalnya komisi nya juga tinggi pengamat kelas teri yg pro rakyat sory gua orang bodo soal nya gua sering di bodo bodoin komentar bebas kan ,1,0,0
waduk lah jokowi plin plan,0,0,1
lanjut kan pa presiden indonesia bangkit dri kterpurukan mslh corona jgn dngr kan org yg cuma bisa nya nyinyir dan ga bisa krja ,0,0,1
apa salahnya masker tetap di pakai hal kecil aja padahal,0,1,0
tolong yg positif mininggal dunia akibat covid data ktp ny di publikasikn di media masa apakah manusia yg itu terdaftar di muka bumi ini atw cuman sebagi hitungan semata sajaa hahahaaaaahha,0,1,0
cieeee yg nyuruh berdamai dengan virus corona prank apa lagi ini pak,0,1,0
new normal boleh new utang jangan,1,0,0
pak dulu blng siap klo covid masuk lah udh masuk apd nya limit para medis banyak yg make jas hujan laaaah klo ini sy mlh lbh khawatir pak anak sy msh butuh sy sy punya sakit jantung anak sy hrs mulai sekolah mau paud sampai ke bangku kuliah ttp resiko namanya anak masih ada sifat ego ceroboh klo dak didampingi ortu klo hanya guru kt percykan itu srh ngurus anak lbh dr sepuluh jls kualahan pak mohon dipertimbangan,0,0,1
pemerintah udah capek masyarakat udah capek maju kena mundur kena yah semoga aja yang positif ga banyak agak ragu sih kalau sampe new normal life diterapkan,1,0,0
